IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
57	,	BtnDescriptionAGVAccessModeNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 미사용	,	No Function or Unuse	,	No Function or Unuse	,	Không có khả năng hoạt động ( No Function ) hoặc không sử dụng 
58	,	BtnDescriptionAreaSensorModeUse	,	CDialogEQPFunctionList	,	AREA SENSOR 사용	,	AREA SENSOR Use	,	AREA SENSOR Use	,	Sử dụng AREA SENSOR 
59	,	BtnDescriptionAreaSensorModeUnuse	,	CDialogEQPFunctionList	,	AREA SENSOR 미사용	,	AREA SENSOR UnUse	,	AREA SENSOR UnUse	,	Không sử dụng AREA SENSOR 
60	,	BtnDescriptionAreaSensorModeNothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W 없음	,	No Function or H/W	,	No Function or H/W	,	Không có khả năng hoạt động ( No Function ) hoặc  không có H/W 
61	,	BtnDescriptionSortModeUse	,	CDialogEQPFunctionList	,	특정 조건의 SORT 기능 사용	,	Specific conditions SORT Function Use	,	Specific conditions SORT Function Use	,	Sử dụng tính năng SORT với các điều kiện nhất định
62	,	BtnDescriptionSortModeUnuse	,	CDialogEQPFunctionList	,	특정 조건의 SORT 기능 미사용	,	Specific conditions SORT Function Unuse	,	Specific conditions SORT Function Unuse	,	Không sSử dụng tính năng SORT với các điều kiện nhất định
63	,	BtnDescriptionSortModeNothing	,	CDialogEQPFunctionList	,	기능 없음	,	No Function	,	No Function	,	Không có khả năng hoạt động ( No Function )
64	,	BtnDescriptionInterlockControlTransfer	,	CDialogEQPFunctionList	,	후 공정으로 반송 중지	,	Stop returning to the post-process	,	Stop returning to the post-process	,	Ngưng chuyển về công đoạn sau 
65	,	BtnDescriptionInterlockControlLoading	,	CDialogEQPFunctionList	,	전 공정으로 부터 반송 중지	,	Stop returning from the previous process	,	Stop returning from the previous process	,	Ngưng bắt đầu chuyển về công đoạn trước 
66	,	BtnDescriptionInterlockControlStep	,	CDialogEQPFunctionList	,	전 / 후 공정으로 반송 중지/ 현재 Step에서 정지	,	Stop returning to the post and previous process / Step Stop	,	Stop returning to the post and previous process / Step Stop	,	Ngưng chuyển về công đoạn sau / trước . Dừng lại ở bước hiện tại
67	,	BtnDescriptionInterlockControlOwn	,	CDialogEQPFunctionList	,	설비 자체 판단으로 반송 중지 및 Step / Cycle 정지	,	Stop returning to Equipment judgment / step and cycle stop	,	Stop returning to Equipment judgment / step and cycle stop	,	Thiết bị tự phán đoán ngừng chuyển về hoặc ngừng Step / Cycle
68	,	BtnDescriptionLoaderLoadPortMcr_ON	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 사용	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait
69	,	BtnDescriptionLoaderLoadPortMcr_OFF	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 미사용	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait
70	,	BtnDescriptionLoaderLoadPortMcr_Nothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W 없음	,	No Function or H/W	,	No Function or H/W	,	No Function or H/W
